INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25725,666032,2011960,นาทะนุง,นาหมื่น,น่าน,0, , ,100.5699065722177,18.19039023890838
25726,666716,2010616,นาทะนุง,นาหมื่น,น่าน,0, , ,100.57626319833285,18.17819417772581
25727,667222,2009600,นาทะนุง,นาหมื่น,น่าน,0, , ,100.58096331071101,18.16897529248093
25728,674962,2010580,นาทะนุง,นาหมื่น,น่าน,0, , ,100.65420092636076,18.177213531906318
25729,691636,2004612,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81123642404634,18.12187711638832
25730,692178,2004748,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81636989100004,18.123057506019016
25731,692117,2004773,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81579589170309,18.123288790194678
25732,691932,2005389,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81410535507527,18.128870187209337
25733,691977,2005383,นาทะนุง,นาหมื่น,น่าน,0, , ,100.8145299711066,18.128811976555745
25734,691636,2004612,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81123642404634,18.12187711638832
25735,692178,2004748,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81636989100004,18.123057506019016
25736,692117,2004773,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81579589170309,18.123288790194678
25737,691932,2005389,นาทะนุง,นาหมื่น,น่าน,0, , ,100.81410535507527,18.128870187209337
25738,691977,2005383,นาทะนุง,นาหมื่น,น่าน,0, , ,100.8145299711066,18.128811976555745
25739,654450,2012295,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.46044594673327,18.194281254034305
25740,654602,2012257,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.46188001965865,18.193926966560067
25741,654289,2009776,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45873469507595,18.171532346224993
25742,653900,2009808,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.4550601401423,18.17184936225193
25743,653781,2009801,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45393478757386,18.171794627857253
